
time;gFx;gFy;gFz;Azimuth;Pitch;Roll;Gain;
4,7040;0,9405;-0,1289;-0,4005;-49,400;7,186;-113,069;100,3507;
4,8210;0,9405;-0,1289;-0,4005;-49,400;7,186;-113,069;100,3507;
4,8300;0,8330;-0,2730;-0,3820;-68,798;16,590;-114,635;100,3507;
4,9040;0,8330;-0,2730;-0,3820;-68,361;16,590;-114,635;96,3817;
4,9900;1,1276;-0,4372;-0,3605;-74,684;20,269;-107,728;96,3817;
5,0210;1,1276;-0,4372;-0,3605;-74,684;20,269;-107,728;96,3817;
5,1040;1,1276;-0,4372;-0,3605;-67,464;20,269;-107,728;96,3817;
5,1520;0,9043;-0,2720;-0,2960;-59,582;15,955;-108,123;96,3817;
5,2210;0,9043;-0,2720;-0,2960;-59,582;15,955;-108,123;94,6532;
5,3040;0,9043;-0,2720;-0,2960;-59,632;15,955;-108,123;94,6532;
5,3130;0,9155;-0,2623;-0,3175;-58,959;15,144;-109,125;94,6532;
5,4210;0,9155;-0,2623;-0,3175;-58,959;15,144;-109,125;94,6532;
5,4740;0,9063;-0,2711;-0,2974;-59,506;15,864;-108,170;94,6532;
5,5040;0,9063;-0,2711;-0,2974;-61,758;15,864;-108,170;96,0893;
5,6210;0,9063;-0,2711;-0,2974;-61,758;15,864;-108,170;96,0893;
5,6350;0,9077;-0,2701;-0,2921;-61,484;15,814;-107,836;96,0893;
5,7040;0,9077;-0,2701;-0,2921;-57,905;15,814;-107,836;96,0893;
5,7960;0,9038;-0,2637;-0,2955;-57,590;15,501;-108,104;97,1728;
5,8200;0,9038;-0,2637;-0,2955;-57,590;15,501;-108,104;97,1728;
5,9040;0,9038;-0,2637;-0,2955;-60,864;15,501;-108,104;97,1728;
5,9570;0,9126;-0,2481;-0,3009;-59,293;14,477;-108,246;97,1728;
6,0210;0,9126;-0,2481;-0,3009;-59,293;14,477;-108,246;97,1728;
6,1040;0,9126;-0,2481;-0,3009;-59,670;14,477;-108,246;97,6716;
6,1180;0,9116;-0,2584;-0,2979;-60,507;15,076;-108,098;97,6716;
6,2210;0,9116;-0,2584;-0,2979;-60,507;15,076;-108,098;97,6716;
6,2790;0,8862;-0,2662;-0,2857;-61,773;15,953;-107,869;97,6716;
6,3040;0,8862;-0,2662;-0,2857;-59,194;15,953;-107,869;97,6716;
6,4210;0,8862;-0,2662;-0,2857;-59,194;15,953;-107,869;98,0822;
6,4390;0,8950;-0,2642;-0,2994;-59,100;15,640;-108,496;98,0822;
6,5040;0,8950;-0,2642;-0,2994;-60,263;15,640;-108,496;98,0822;
6,6000;0,8760;-0,2642;-0,2940;-60,774;15,958;-108,555;98,0822;
6,6210;0,8760;-0,2642;-0,2940;-60,774;15,958;-108,555;98,0822;
6,7040;0,8760;-0,2642;-0,2940;-59,430;15,958;-108,555;97,8132;
6,7620;0,9009;-0,2740;-0,2970;-59,480;16,111;-108,244;97,8132;
6,8210;0,9009;-0,2740;-0,2970;-59,480;16,111;-108,244;97,8132;
6,9040;0,9009;-0,2740;-0,2970;-62,785;16,111;-108,244;97,8132;
6,9220;0,8965;-0,2647;-0,2935;-62,027;15,675;-108,130;97,8132;
7,0210;0,8965;-0,2647;-0,2935;-62,027;15,675;-108,130;97,6820;
7,0840;0,8975;-0,2711;-0,2935;-62,564;16,017;-108,111;97,6820;
7,1040;0,8975;-0,2711;-0,2935;-57,321;16,017;-108,111;97,6820;
7,2210;0,8975;-0,2711;-0,2935;-57,321;16,017;-108,111;97,6820;
7,2450;0,8804;-0,2671;-0,2999;-57,834;16,027;-108,811;97,6820;
7,3040;0,8804;-0,2671;-0,2999;-62,316;16,027;-108,811;97,4703;
7,4060;0,8852;-0,2759;-0,2784;-62,457;16,560;-107,457;97,4703;
7,4200;0,8852;-0,2759;-0,2784;-62,457;16,560;-107,457;97,4703;
7,5040;0,8852;-0,2759;-0,2784;-61,154;16,560;-107,457;97,4703;
7,5670;0,8872;-0,2701;-0,2852;-60,709;16,162;-107,822;97,4703;
7,6210;0,8872;-0,2701;-0,2852;-60,709;16,162;-107,822;99,4266;
7,7040;0,8872;-0,2701;-0,2852;-57,550;16,162;-107,822;99,4266;
7,7270;0,8867;-0,2696;-0,2686;-56,956;16,224;-106,853;99,4266;
7,8210;0,8867;-0,2696;-0,2686;-56,956;16,224;-106,853;99,4266;
