
time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;p;Bx;By;Bz;
19:07:53:199;0,4300;0,4925;0,7378;-0,0206;-0,0725;-0,1341;0,0611;-0,1277;0,0067;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:201;0,4080;0,4656;0,7058;-0,0206;-0,0725;-0,1341;0,0611;-0,1277;0,0067;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:202;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;0,0611;-0,1277;0,0067;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:203;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;0,0611;-0,1277;0,0067;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:205;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;0,0513;-0,1093;0,0098;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:215;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;0,0110;-0,1173;0,0110;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:225;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;-0,0147;-0,1002;-0,0024;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:235;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;-0,0195;-0,0568;-0,0318;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:245;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;-0,0061;-0,0073;-0,0538;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:255;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;0,0122;0,0458;-0,0593;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:265;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;0,0183;0,0806;-0,0483;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:275;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;0,0128;0,1002;-0,0281;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:285;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;-0,0043;0,1008;0,0153;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:295;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;-0,0128;0,0605;0,0580;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:305;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;-0,0140;0,0061;0,0855;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:315;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;-0,0134;-0,0379;0,0892;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:325;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;-0,0171;-0,0574;0,0672;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:335;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;-0,0183;-0,0397;0,0483;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:345;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;-0,0238;0,0000;0,0220;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:355;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;-0,0220;0,0611;-0,0122;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:365;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;-0,0183;0,1197;-0,0348;987,7908;-39,7200;-18,6600;-24,7200;
19:07:53:376;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;-0,0183;0,1197;-0,0348;987,7908;-39,7200;-18,4200;-24,7800;
19:07:53:378;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;-0,0183;0,1197;-0,0348;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:379;0,4080;0,4656;0,7058;-0,2514;-0,3230;-0,4475;-0,0061;0,1252;-0,0409;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:381;0,4129;0,4674;0,7234;-0,2514;-0,3230;-0,4475;-0,0061;0,1252;-0,0409;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:382;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;-0,0061;0,1252;-0,0409;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:383;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;-0,0061;0,1252;-0,0409;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:385;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;-0,0067;0,0739;-0,0391;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:395;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;-0,0153;0,0287;-0,0403;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:405;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;-0,0257;0,0269;-0,0360;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:415;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;-0,0360;-0,0122;-0,0147;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:425;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;-0,0470;-0,0140;-0,0079;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:435;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;-0,0525;0,0397;0,0006;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:445;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;-0,0483;0,1087;0,0171;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:455;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;-0,0635;0,1649;0,0293;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:465;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;-0,0739;0,2022;0,0116;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:475;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;-0,0745;0,2046;-0,0037;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:485;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;-0,0599;0,1814;-0,0153;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:495;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;-0,0305;0,1087;-0,0275;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:505;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;0,0116;0,0214;-0,0342;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:515;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;0,0556;-0,0641;-0,0409;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:525;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;0,0935;-0,1118;-0,0360;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:535;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;0,1100;-0,1252;-0,0220;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:545;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;0,0947;-0,1258;0,0165;987,7905;-39,7200;-18,4200;-24,7800;
19:07:53:557;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;0,0947;-0,1258;0,0165;987,7905;-39,6600;-18,3000;-24,6600;
19:07:53:558;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;0,0947;-0,1258;0,0165;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:559;0,4129;0,4674;0,7234;-0,2116;-0,2828;-0,2860;0,0238;-0,0794;0,0452;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:561;0,3999;0,4845;0,7075;-0,2116;-0,2828;-0,2860;0,0238;-0,0794;0,0452;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:562;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;0,0238;-0,0794;0,0452;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:563;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;0,0238;-0,0794;0,0452;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:565;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;-0,0367;-0,0568;0,0440;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:575;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;-0,0733;-0,0525;0,0336;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:586;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;-0,0812;-0,0733;0,0018;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:595;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;-0,0476;-0,0721;-0,0409;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:605;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;0,0220;-0,0580;-0,0611;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:615;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;0,0874;-0,0293;-0,0593;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:625;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;0,1081;-0,0012;-0,0403;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:635;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;0,0831;0,0324;-0,0140;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:645;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;0,0287;0,0373;0,0269;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:655;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;-0,0299;0,0263;0,0501;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:665;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;-0,0812;0,0043;0,0519;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:675;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;-0,0898;-0,0409;0,0379;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:685;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;-0,0672;-0,0806;-0,0018;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:695;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;0,0031;-0,1093;-0,0293;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:705;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;0,0672;-0,1081;-0,0593;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:715;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;0,1020;-0,0898;-0,0739;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:725;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;0,1179;-0,1014;-0,0507;987,7952;-39,6600;-18,3000;-24,6600;
19:07:53:736;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;0,1179;-0,1014;-0,0507;987,7952;-39,7800;-18,1800;-24,4800;
19:07:53:738;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;0,1179;-0,1014;-0,0507;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:739;0,3999;0,4845;0,7075;-0,2588;-0,1487;-0,4650;0,0880;-0,1399;0,0031;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:740;0,3928;0,4529;0,7312;-0,2588;-0,1487;-0,4650;0,0880;-0,1399;0,0031;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:742;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;0,0880;-0,1399;0,0031;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:743;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;0,0880;-0,1399;0,0031;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:745;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;0,0367;-0,1423;0,0324;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:755;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;-0,0012;-0,1393;0,0440;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:765;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;-0,0128;-0,1545;0,0538;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:775;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;-0,0073;-0,1552;0,0489;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:785;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;0,0000;-0,1161;0,0177;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:795;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;0,0134;-0,0391;-0,0263;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:805;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;0,0232;0,0330;-0,0397;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:814;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;0,0159;0,0977;-0,0287;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:824;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;-0,0012;0,1374;-0,0177;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:834;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;-0,0293;0,1313;-0,0147;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:844;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;-0,0525;0,0727;-0,0043;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:855;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;-0,0495;-0,0037;-0,0006;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:865;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;-0,0269;-0,0531;-0,0031;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:875;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;-0,0104;-0,0470;0,0049;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:885;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;0,0067;-0,0403;0,0220;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:895;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;0,0244;-0,0269;0,0244;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:905;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;0,0128;0,0238;0,0116;987,7864;-39,7800;-18,1800;-24,4800;
19:07:53:916;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;0,0128;0,0238;0,0116;987,7864;-39,7800;-18,4800;-24,7200;
19:07:53:918;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;0,0128;0,0238;0,0116;987,7683;-39,7800;-18,4800;-24,7200;
19:07:53:919;0,3928;0,4529;0,7312;-0,3244;-0,4079;-0,2675;-0,0171;0,1026;-0,0128;987,7683;-39,7800;-18,4800;-24,7200;
19:07:53:920;0,4432;0,4923;0,7178;-0,3244;-0,4079;-0,2675;-0,0171;0,1026;-0,0128;987,7683;-39,7800;-18,4800;-24,7200;
19:07:53:922;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;-0,0171;0,1026;-0,0128;987,7683;-39,7800;-18,4800;-24,7200;
19:07:53:923;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;-0,0171;0,1026;-0,0128;987,7683;-39,7800;-18,4800;-24,7200;
19:07:53:925;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;-0,0348;0,1381;-0,0098;987,7683;-39,7800;-18,4800;-24,7200;
19:07:53:935;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;-0,0354;0,1283;-0,0055;987,7683;-39,7800;-18,4800;-24,7200;
19:07:53:946;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;-0,0312;0,0843;0,0195;987,7683;-39,7800;-18,4800;-24,7200;
19:07:53:955;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;-0,0177;0,0073;0,0379;987,7683;-39,7800;-18,4800;-24,7200;
19:07:53:965;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;-0,0073;-0,0599;0,0464;987,7683;-39,7800;-18,4800;-24,7200;
19:07:53:975;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;0,0037;-0,0990;0,0470;987,7683;-39,7800;-18,4800;-24,7200;
19:07:53:985;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;0,0147;-0,1289;0,0397;987,7683;-39,7800;-18,4800;-24,7200;
19:07:53:995;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;0,0079;-0,1191;0,0067;987,7683;-39,7800;-18,4800;-24,7200;
19:07:54:005;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;0,0006;-0,0751;-0,0360;987,7683;-39,7800;-18,4800;-24,7200;
19:07:54:015;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;-0,0110;-0,0147;-0,0580;987,7683;-39,7800;-18,4800;-24,7200;
19:07:54:025;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;-0,0018;0,0336;-0,0611;987,7683;-39,7800;-18,4800;-24,7200;
19:07:54:035;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;0,0079;0,0538;-0,0556;987,7683;-39,7800;-18,4800;-24,7200;
19:07:54:045;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;0,0312;0,0458;-0,0415;987,7683;-39,7800;-18,4800;-24,7200;
19:07:54:055;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;0,0336;-0,0171;-0,0092;987,7683;-39,7800;-18,4800;-24,7200;
19:07:54:065;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;0,0318;-0,0959;0,0171;987,7683;-39,7800;-18,4800;-24,7200;
19:07:54:075;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;0,0134;-0,1368;0,0324;987,7683;-39,7800;-18,4800;-24,7200;
19:07:54:085;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;-0,0043;-0,1277;0,0275;987,7683;-39,7800;-18,4800;-24,7200;
19:07:54:097;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;-0,0043;-0,1277;0,0275;987,7683;-39,7200;-18,3600;-24,6000;
19:07:54:098;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;-0,0043;-0,1277;0,0275;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:099;0,4432;0,4923;0,7178;0,0642;-0,0422;-0,3265;-0,0055;-0,0800;0,0049;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:100;0,4732;0,5082;0,7280;0,0642;-0,0422;-0,3265;-0,0055;-0,0800;0,0049;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:102;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;-0,0055;-0,0800;0,0049;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:103;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;-0,0055;-0,0800;0,0049;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:105;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;-0,0086;-0,0122;-0,0318;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:115;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;0,0086;0,0660;-0,0580;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:125;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;0,0257;0,1203;-0,0513;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:135;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;0,0336;0,1503;-0,0367;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:145;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;0,0257;0,1478;-0,0122;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:155;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;0,0024;0,0971;0,0195;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:165;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;-0,0330;0,0293;0,0434;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:175;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;-0,0464;-0,0140;0,0525;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:185;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;-0,0513;-0,0342;0,0391;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:195;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;-0,0409;-0,0098;0,0183;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:205;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;-0,0195;0,0287;-0,0116;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:216;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;0,0067;0,0983;-0,0385;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:225;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;0,0183;0,1564;-0,0495;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:235;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;0,0202;0,1649;-0,0428;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:245;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;0,0049;0,1478;-0,0293;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:255;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;-0,0299;0,0672;-0,0165;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:265;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;-0,0458;-0,0367;0,0024;987,7642;-39,7200;-18,3600;-24,6000;
19:07:54:276;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;-0,0458;-0,0367;0,0024;987,7642;-40,0200;-18,4800;-24,3000;
19:07:54:278;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;-0,0458;-0,0367;0,0024;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:279;0,4732;0,5082;0,7280;0,2055;0,0742;-0,1083;-0,0421;-0,1167;0,0031;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:280;0,4278;0,4928;0,7774;0,2055;0,0742;-0,1083;-0,0421;-0,1167;0,0031;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:282;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;-0,0421;-0,1167;0,0031;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:283;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;-0,0421;-0,1167;0,0031;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:285;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;-0,0165;-0,1637;-0,0012;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:295;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;0,0183;-0,1753;-0,0250;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:305;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;0,0586;-0,1515;-0,0434;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:315;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;0,0800;-0,0996;-0,0489;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:325;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;0,0910;-0,0574;-0,0434;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:335;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;0,0751;-0,0281;-0,0177;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:345;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;0,0421;-0,0324;0,0092;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:355;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;0,0024;-0,0354;0,0318;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:365;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;-0,0373;-0,0299;0,0385;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:375;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;-0,0556;-0,0367;0,0354;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:385;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;-0,0696;-0,0568;0,0354;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:395;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;-0,0977;-0,0458;0,0177;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:405;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;-0,0617;-0,0202;0,0116;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:415;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;-0,0159;-0,0440;-0,0055;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:425;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;-0,0079;-0,1045;0,0116;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:435;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;-0,0397;-0,1527;0,0495;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:445;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;-0,0788;-0,1778;0,0648;987,7727;-40,0200;-18,4800;-24,3000;
19:07:54:456;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;-0,0788;-0,1778;0,0648;987,7727;-39,7200;-18,7800;-23,8200;
19:07:54:458;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;-0,0788;-0,1778;0,0648;987,7776;-39,7200;-18,7800;-23,8200;
19:07:54:459;0,4278;0,4928;0,7774;-0,1094;-0,0381;0,2715;-0,1075;-0,1594;0,0562;987,7776;-39,7200;-18,7800;-23,8200;
19:07:54:460;0,3862;0,4549;0,6955;-0,1094;-0,0381;0,2715;-0,1075;-0,1594;0,0562;987,7776;-39,7200;-18,7800;-23,8200;
19:07:54:462;0,3862;0,4549;0,6955;-0,5118;-0,3938;-0,5435;-0,1075;-0,1594;0,0562;987,7776;-39,7200;-18,7800;-23,8200;
19:07:54:463;0,3862;0,4549;0,6955;-0,5118;-0,3938;-0,5435;-0,1075;-0,1594;0,0562;987,7776;-39,7200;-18,7800;-23,8200;
19:07:54:465;0,3862;0,4549;0,6955;-0,5118;-0,3938;-0,5435;-0,1191;-0,2028;0,0385;987,7776;-39,7200;-18,7800;-23,8200;
19:07:54:475;0,3862;0,4549;0,6955;-0,5118;-0,3938;-0,5435;-0,1289;-0,3134;0,0672;987,7776;-39,7200;-18,7800;-23,8200;
19:07:54:485;0,3862;0,4549;0,6955;-0,5118;-0,3938;-0,5435;-0,1240;-0,3940;0,0727;987,7776;-39,7200;-18,7800;-23,8200;
19:07:54:495;0,3862;0,4549;0,6955;-0,5118;-0,3938;-0,5435;-0,1032;-0,4893;0,0244;987,7776;-39,7200;-18,7800;-23,8200;
19:07:54:505;0,3862;0,4549;0,6955;-0,5118;-0,3938;-0,5435;-0,1185;-0,6720;-0,0006;987,7776;-39,7200;-18,7800;-23,8200;
19:07:54:516;0,3862;0,4549;0,6955;-0,5118;-0,3938;-0,5435;-0,1772;-0,8528;0,0140;987,7776;-39,7200;-18,7800;-23,8200;
